date,SBER,GAZP,YNDX
2020-01-03,255.0,259.0,2685.0
2020-01-06,253.9,256.55,2672.0
2020-01-08,259.15,255.79,2677.0
2020-01-09,257.99,254.07,2728.4
2020-01-10,258.19,251.9,2725.0
2020-01-13,262.4,251.5,2703.4
2020-01-14,259.05,250.0,2685.0
2020-01-15,256.31,251.3,2690.0
2020-01-16,257.51,254.26,2719.8
2020-01-17,262.5,255.39,2772.8
2020-01-20,266.28,253.5,2800.0
2020-01-21,268.06,252.99,2770.0
2020-01-22,266.54,248.1,2790.0
2020-01-23,263.73,239.3,2820.2
2020-01-24,265.49,237.95,2798.0
2020-01-27,255.32,230.96,2780.0
2020-01-28,257.7,235.0,2799.8
2020-01-29,259.94,232.0,2890.0
2020-01-30,257.31,231.53,2888.0
2020-01-31,252.2,226.7,2873.4
2020-02-03,253.99,227.64,2880.6
2020-02-04,255.4,230.5,2990.0
2020-02-05,255.2,232.56,3008.2
2020-02-06,252.11,231.38,3048.2
2020-02-07,254.3,229.11,3103.8
2020-02-10,252.26,225.2,3087.2
2020-02-11,254.5,233.9,3085.0
2020-02-12,254.5,238.03,3037.2
2020-02-13,253.89,233.55,3087.4
2020-02-14,251.75,232.5,3011.0
2020-02-17,251.36,233.75,2983.6
2020-02-18,249.2,230.5,2937.0
2020-02-19,249.7,231.9,2953.0
2020-02-20,250.15,234.6,2988.4
2020-02-21,250.8,232.0,2911.8
2020-02-25,245.19,224.68,2681.8
2020-02-26,250.8,224.76,2690.8
2020-02-27,242.88,217.5,2678.2
2020-02-28,233.36,202.65,2659.8
2020-03-02,228.17,198.78,2721.4
2020-03-03,236.63,201.48,2723.0
2020-03-04,235.27,200.0,2654.2
2020-03-05,232.33,198.0,2728.2
2020-03-06,219.99,188.27,2685.0
2020-03-10,201.2,171.0,2590.0
2020-03-11,194.53,172.03,2615.0
2020-03-12,175.91,163.73,2460.0
2020-03-13,198.6,166.1,2470.0
2020-03-16,195.85,168.07,2370.0
2020-03-17,184.01,167.0,2425.0
2020-03-18,174.27,166.34,2318.8
2020-03-19,189.51,174.56,2434.0
2020-03-20,195.69,176.26,2455.2
2020-03-23,183.37,168.35,2299.8
2020-03-24,192.64,177.95,2459.0
2020-03-25,188.08,180.2,2555.8
2020-03-26,188.07,181.5,2610.0
2020-03-27,180.38,174.5,2597.0
2020-03-30,183.0,176.44,2670.2
2020-03-31,187.21,181.41,2714.4
2020-04-01,184.78,180.06,2605.8
2020-04-02,186.95,187.04,2550.8
2020-04-03,185.64,189.77,2520.0
2020-04-06,190.7,191.1,2582.0
2020-04-07,197.63,191.22,2668.0
2020-04-08,200.29,194.11,2742.6
2020-04-09,203.61,193.86,2697.2
2020-04-10,201.99,192.0,2701.0
2020-04-13,198.26,188.07,2659.0
2020-04-14,197.37,190.11,2755.6
2020-04-15,186.07,184.25,2588.2
2020-04-16,188.5,184.3,2637.8
2020-04-17,191.8,184.68,2630.4
2020-04-20,189.32,185.51,2736.4
2020-04-21,186.05,181.92,2659.2
2020-04-22,190.2,188.36,2655.0
2020-04-23,190.94,188.73,2640.6
2020-04-24,188.91,185.71,2621.0
2020-04-27,188.9,186.29,2715.0
2020-04-28,192.8,188.5,2754.8
2020-04-29,195.8,193.87,2870.0
2020-04-30,197.25,190.0,2850.8
2020-05-04,193.69,185.7,2828.8
2020-05-05,194.75,190.0,2842.2
2020-05-06,195.7,187.05,2864.0
2020-05-07,195.51,185.85,2910.2
2020-05-08,196.02,185.34,2975.2
2020-05-12,191.4,186.17,2977.0
2020-05-13,187.31,184.2,2893.4
2020-05-14,183.81,183.91,2821.8
2020-05-15,183.85,183.85,2839.6
2020-05-18,188.93,192.5,2945.0
2020-05-19,189.0,194.2,2970.0
2020-05-20,193.98,196.74,2964.6
2020-05-21,192.4,194.74,2910.8
2020-05-22,188.9,194.35,2905.0
2020-05-25,191.0,197.55,2960.6
2020-05-26,194.0,196.86,2913.2
2020-05-27,198.51,194.73,2826.0
2020-05-28,205.0,196.86,2888.0
2020-05-29,200.5,199.95,2833.2
2020-06-01,203.66,198.72,2846.0
2020-06-02,212.0,201.97,2837.8
2020-06-03,221.5,208.0,2867.6
2020-06-04,213.1,201.46,2861.6
2020-06-05,219.1,203.05,2884.0
2020-06-08,220.3,204.91,2873.2
2020-06-09,217.23,204.84,2902.0
2020-06-10,212.53,201.75,2881.2
2020-06-11,208.35,196.74,2850.0
2020-06-15,207.32,194.2,2967.4
2020-06-16,207.76,196.59,3009.0
2020-06-17,208.14,195.86,3068.2
2020-06-18,203.77,193.0,3108.0
2020-06-19,207.0,195.81,3155.0
2020-06-22,206.4,194.3,3254.2
2020-06-23,207.3,194.83,3358.6
2020-06-25,206.92,192.25,3499.0
2020-06-26,203.15,193.0,3430.0
2020-06-29,205.8,197.94,3467.0
2020-06-30,203.22,194.31,3545.6
2020-07-02,209.6,195.28,3548.6
2020-07-03,210.95,197.2,3549.6
2020-07-06,214.61,199.99,3639.0
2020-07-07,210.53,197.96,3598.8
2020-07-08,210.97,201.17,3581.8
2020-07-09,209.11,199.44,3637.8
2020-07-10,212.28,200.94,3633.0
2020-07-13,208.39,195.7,3678.0
2020-07-14,209.5,193.6,3772.0
2020-07-15,211.09,182.26,3882.8
2020-07-16,211.35,183.32,3824.0
2020-07-17,210.81,184.65,3950.0
2020-07-20,213.89,188.36,4029.0
2020-07-21,215.73,186.78,3964.0
2020-07-22,216.71,187.15,4010.0
2020-07-23,215.41,184.69,4002.8
2020-07-24,215.97,185.45,4017.2
2020-07-27,216.9,185.03,4123.0
2020-07-28,215.53,184.3,4114.4
2020-07-29,219.18,184.69,4187.8
2020-07-30,218.15,182.52,4191.0
2020-07-31,221.57,182.59,4257.0
2020-08-03,226.72,183.6,4288.6
2020-08-04,227.16,183.31,4312.0
2020-08-05,226.4,189.15,4340.2
2020-08-06,226.0,189.07,4413.8
2020-08-07,227.28,187.23,4360.0
2020-08-10,225.99,187.7,4205.0
2020-08-11,232.65,189.7,4185.8
2020-08-12,242.4,192.8,4288.8
2020-08-13,241.39,193.76,4366.0
2020-08-14,239.99,192.83,4389.6
2020-08-17,237.8,190.47,4500.0
2020-08-18,236.3,190.3,4503.0
2020-08-19,239.4,189.26,4620.0
2020-08-20,232.48,186.95,4700.0
2020-08-21,231.22,184.51,4772.0
2020-08-24,231.81,187.1,4913.4
2020-08-25,228.08,186.25,5055.0
2020-08-26,227.8,187.48,4973.6
2020-08-27,226.23,184.58,4842.8
2020-08-28,226.3,182.9,4845.0
2020-08-31,226.1,181.01,5089.4
2020-09-01,227.64,184.22,5033.0
2020-09-02,222.57,181.95,5070.0
2020-09-03,218.32,179.13,4917.8
2020-09-04,222.21,179.55,4885.0
2020-09-07,221.32,177.04,4975.0
2020-09-08,217.68,172.95,4670.2
2020-09-09,218.0,173.69,4743.4
2020-09-10,220.6,173.8,4597.8
2020-09-11,221.07,178.05,4662.0
2020-09-14,227.37,178.19,4730.0
2020-09-15,231.5,182.22,4685.8
2020-09-16,231.06,183.26,4637.0
2020-09-17,231.46,183.9,4595.0
2020-09-18,230.3,181.52,4628.0
2020-09-21,226.25,177.17,4527.8
2020-09-22,229.88,179.0,4900.0
2020-09-23,228.5,177.0,5008.6
2020-09-24,228.17,174.23,4775.0
2020-09-25,228.24,173.77,4934.0
2020-09-28,228.63,172.74,5080.0
2020-09-29,225.48,171.44,5095.0
2020-09-30,229.14,169.97,5062.0
2020-10-01,227.23,168.4,4928.8
2020-10-02,208.8,169.47,4907.0
2020-10-05,208.89,170.64,4980.0
2020-10-06,211.18,171.35,4869.0
2020-10-07,210.6,168.23,4779.4
2020-10-08,207.97,167.43,4714.6
2020-10-09,205.38,166.97,4683.0
2020-10-12,206.18,169.05,4759.8
2020-10-13,205.03,166.37,4838.8
2020-10-14,207.83,167.24,4772.0
2020-10-15,203.85,167.16,4754.4
2020-10-16,201.17,163.98,4530.0
2020-10-19,202.78,163.6,4457.0
2020-10-20,209.54,166.53,4340.0
2020-10-21,210.33,164.37,4410.2
2020-10-22,210.21,165.27,4455.0
2020-10-23,214.5,164.96,4523.2
2020-10-26,211.1,162.17,4504.0
2020-10-27,207.64,159.21,4600.8
2020-10-28,204.73,154.3,4586.0
2020-10-29,205.58,156.74,4637.2
2020-10-30,200.99,154.28,4561.0
2020-11-02,204.5,157.74,4589.2
2020-11-03,209.2,161.09,4591.0
2020-11-05,216.7,163.7,4854.8
2020-11-06,217.5,164.92,4927.0
2020-11-09,228.05,170.13,4985.4
2020-11-10,236.1,172.92,4696.0
2020-11-11,244.2,170.53,4724.8
2020-11-12,242.08,172.91,4718.8
2020-11-13,242.99,180.3,4799.0
2020-11-16,247.99,185.32,4735.2
2020-11-17,245.7,182.9,4680.0
2020-11-18,242.71,185.0,4691.2
2020-11-19,240.27,184.16,4742.6
2020-11-20,239.42,183.21,4745.6
2020-11-23,239.7,184.15,4687.6
2020-11-24,247.33,186.76,4935.8
2020-11-25,251.91,188.03,4946.0
2020-11-26,250.1,185.52,4985.2
2020-11-27,251.59,185.9,5115.0
2020-11-30,249.63,181.89,5278.0
2020-12-01,260.81,185.34,5310.4
2020-12-02,264.06,187.22,5193.6
2020-12-03,263.14,185.12,5166.0
2020-12-04,270.0,188.79,5065.2
2020-12-07,274.36,190.76,5002.2
2020-12-08,275.49,190.0,5066.4
2020-12-09,276.89,189.35,5094.0
2020-12-10,282.2,192.95,5169.2
2020-12-11,283.73,201.5,5124.0
2020-12-14,279.95,199.91,5040.0
2020-12-15,278.7,201.0,5050.0
2020-12-16,278.35,206.2,5198.0
2020-12-17,278.5,214.52,5145.4
2020-12-18,270.16,212.69,5082.0
2020-12-21,261.79,203.46,5004.4
2020-12-22,262.04,208.4,5084.0
2020-12-23,270.1,207.63,5113.0
2020-12-24,269.32,206.24,5029.0
2020-12-25,270.64,205.03,5039.8
2020-12-28,274.7,206.11,5026.4
2020-12-29,272.0,208.75,5020.4
2020-12-30,271.65,212.98,5167.0
